Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
air-mattress,Air Mattress,<ul><div class='list-header'>SPECIFICATIONS</div><ul><li>200 * 90 * 12.7cm</li><li>Cell Quantity: 17 Cells</li><li>Pressure Range: 60-120 mmHg</li><li>5-6 Liter Air Output</li></ul><div class='list-header'>DETAILS</div><ul><li>with On/Off Switch</li><li>with Adjustable Pressure</li><li>With Low Pressure Light Indicator</li><li>PAS – Pressure Adjustable Static Function (Static/Alternating/Sit)</li><li>Press button Cover: Water Resistance Blue Nylon Coated with PU</li><li>Nylon TPU</li><li>Nylon PVC with Strap</li><li>6 cells Low Air loss and 2 holes per cell</li><li>Zipper Cover with Skirt</li></ul></ul>,,Health & Beauty > Health Care > Medical Furniture,Mattress,"airmatress, mattress",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air1/1.webp,1,,FALSE,Air Mattress,Air Mattress,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
apm-440-plus-air-mattress,APM 440 Plus – Air Mattress,"<ul><div class='list-header'>FEATURES</div><ul><li>Bi-elastic, breathable PU/PES cover</li><li>Non-bending connecting tubes</li><li>Connection coupling with transportation safety lock</li><li>External CPR valve</li><li>Sensor operated pressure management</li><li>Automatic key lock</li><li>Alternating pressure</li><li>static and care mode</li><li>3 time cycles with 5/10/15 minute selection</li><li>holds up to 230 kg patient weight</li></ul></ul>",,Health & Beauty > Health Care > Medical Furniture,Mattress,"airmatress, mattress",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air2/1.png,1,,FALSE,APM 440 Plus – Air Mattress,APM 440 Plus – Air Mattress,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
elatex-vario-static-foam-mattress,Elatex Vario – Static Foam Mattress,<ul><div class='list-header'>FEATURES</div><ul><li>Edge zone reinforcement</li><li>Made with Breathable Polyester</li><li>Polyurethane covers</li><li>Enhanced patient stability through foam encasing side wall construction</li></ul></ul>,,Health & Beauty > Health Care > Medical Furniture,Mattress,"airmatress, mattress",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air3/1.jpeg,1,,FALSE,Elatex Vario – Static Foam Mattress,Elatex Vario – Static Foam Mattress,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
asx-digital-air-mattress,ASX Digital – Air Mattress,<ul><div class='list-header'>FEATURES</div><ul><li>Bi-elastic cover is breathable.</li><li>PU-coated and has an all-round zip..</li><li>sandwich construction permits the integration of a safety mattress of 2 to 5 cm height.</li><li>The system is suitable for patients from 20 kg up to 200 kg.</li><li>Three head-cells are static.</li></ul></ul>,,Health & Beauty > Health Care > Medical Furniture,Mattress,"airmatress, mattress",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air4/1.png,1,,FALSE,ASX Digital – Air Mattress,ASX Digital – Air Mattress,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
cloud-gel-cushion,Cloud – Gel Cushion,"<ul><div class='list-header'>FEATURES</div><ul><li>Modular construction of up to 30 Foam cells, dependent on size</li><li>A combination of Foam cells with low, medium and high fill enables individual configuration for individual postural needs</li><li>Additional/replacement Foam cells available individually</li><li>Available in sizes 300 x 300 mm (9 Floam cells) to 580 x 400 mm (30 Foam cells)</li><li>Foam base with waterproof cover included for additional protection</li><li>Water-resistant multi stretch Dartex outer cover 250 kg user weight limit</li></ul></ul>",,Health & Beauty > Health Care > Medical Furniture,Cushion,"airmatress, cushion",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air5/1.jpg,1,,FALSE,Cloud – Gel Cushion,Cloud – Gel Cushion,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
ever-soft-air-cushion,Ever Soft – Air Cushion,"<ul><div class='list-header'>FEATURES</div><ul><li>Helps prevent, treat, and manage pressure injuries</li><li>2-inch or 4-inch interconnected, independent air cells allow for deep immersion into the cushion</li><li>Includes removable, low-shear, vapor permeable cover with non-skid bottom</li><li>Hand pump helps adjust the inflation of the cushion.</li><li>Convenient, adjustable strap secures to wheelchair</li><li>Available in numerous sizes and adjustable air cell heights</li><li>Includes convenient repair kit for quick fixes</li><li>Weight capacity 300 lb.</li><li>2-Year Limited Warranty</li><li>Meets CAL 117-2013</li></ul></ul>",,Health & Beauty > Health Care > Medical Furniture,Cushion,"airmatress, cushion",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air6/1.png,1,,FALSE,Ever Soft – Air Cushion,Ever Soft – Air Cushion,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
terra-flair-air-cushion,Terra Flair – Air Cushion,"<ul><div class='list-header'>FEATURES</div><ul><li>Water resistant, Dartexouter cover</li><li>Cover washable at 40C 60C</li><li>Ring zip pull, and zip on three sides, for easy cover removal</li><li>Additional inner incontinence barrier available</li><li>ROHO pump and repair kit included as standard</li><li>Rest Suspension Foam front section to aid transfer and reduce shock transmission</li></ul></ul>",,Health & Beauty > Health Care > Medical Furniture,Cushion,"airmatress, cushion",TRUE,Title,Default Title,,,,,0,,,,deny,manual,,,TRUE,TRUE,,https://eshop.worldcloud9.com/assets/images/products/medshop/airmatress/air7/1.webp,1,,FALSE,Terra Flair – Air Cushion,Terra Flair – Air Cushion,Health & Beauty > Health Care > Medical Furniture,Unisex,Adult,,,,new,FALSE,,,,,,,g,,,,,active
